symbol,date,underwriter
VSLR,20141001,bofa merrill lynch
VTTI,20140801,citigroup
VTTI,20140801,jp morgan
W,20141002,goldman sachs
W,20141002,bofa merrill lynch
W,20141002,citigroup
WAGE,20120510,credit suisse
WAGE,20120510,william blair
WAGE,20120510,stifel nicolaus
WAIR,20110728,morgan stanley
WAIR,20110728,barclays
WBAI,20131122,deutsche bank
WCIC,20130725,credit suisse
WCIC,20130725,citigroup
WCIC,20130725,jp morgan
WD,20101215,credit suisse
WD,20101215,morgan stanley
WD,20101215,keefe bruyette and woods
WDAY,20121012,goldman sachs
WDAY,20121012,morgan stanley
WGP,20121207,barclays
WGP,20121207,citigroup
WHZ,20120323,morgan stanley
